广东电信-组播1,#genre#
青海卫视,http://183.236.43.98:4111/udp/239.253.43.125:5146
西藏卫视,http://183.236.43.98:4111/udp/239.77.1.26:5146
兵团卫视,http://183.236.43.98:4111/udp/239.77.0.48:5146
三沙卫视,http://183.236.43.98:4111/udp/239.253.43.113:5146
厦门卫视,http://183.236.43.98:4111/udp/239.77.0.96:5146
延边卫视,http://183.236.43.98:4111/udp/239.77.0.10:5146
延边卫视,http://183.236.43.98:4111/udp/239.77.1.99:5146
湖南卫视4K,http://183.236.43.98:4111/udp/239.77.0.56:5146
浙江卫视4K,http://183.236.43.98:4111/udp/239.77.0.58:5146
江苏卫视4K,http://183.236.43.98:4111/udp/239.77.0.57:5146
北京卫视4K,http://183.236.43.98:4111/udp/239.77.0.2:5146
北京卫视4K,http://183.236.43.98:4111/udp/239.77.0.3:5146
北京卫视4K,http://183.236.43.98:4111/udp/239.77.1.13:5146
东方卫视4K,http://183.236.43.98:4111/udp/239.77.0.59:5146
东方卫视4K,http://183.236.43.98:4111/udp/239.77.1.34:5146
深圳卫视4K,http://183.236.43.98:4111/udp/239.77.0.67:5146
深圳卫视4K,http://183.236.43.98:4111/udp/239.77.1.14:5146
山东卫视4K,http://183.236.43.98:4111/udp/239.77.0.61:5146
四川卫视4K,http://183.236.43.98:4111/udp/239.77.0.60:5146
CCTV-卫生健康,http://183.236.43.98:4111/udp/239.77.0.212:5146
CCTV-风云足球,http://183.236.43.98:4111/udp/239.253.43.14:5146
CCTV-风云足球,http://183.236.43.98:4111/udp/239.253.43.202:5146
CCTV-风云足球,http://183.236.43.98:4111/udp/239.253.43.20:5146
CCTV-高尔夫·网球,http://183.236.43.98:4111/udp/239.253.43.12:5146
CCTV-高尔夫·网球,http://183.236.43.98:4111/udp/239.253.43.22:5146
CCTV-央视文化精品,http://183.236.43.98:4111/udp/239.253.43.13:5146
CCTV-央视文化精品,http://183.236.43.98:4111/udp/239.253.43.27:5146
CCTV-风云音乐,http://183.236.43.98:4111/udp/239.253.43.6:5146
CCTV-风云音乐,http://183.236.43.98:4111/udp/239.253.43.29:5146
CCTV-第一剧场,http://183.236.43.98:4111/udp/239.253.43.15:5146
CCTV-第一剧场,http://183.236.43.98:4111/udp/239.253.43.28:5146
CCTV-怀旧剧场,http://183.236.43.98:4111/udp/239.253.43.5:5146
CCTV-怀旧剧场,http://183.236.43.98:4111/udp/239.253.43.25:5146
CCTV-风云剧场,http://183.236.43.98:4111/udp/239.253.43.16:5146
CCTV-风云剧场,http://183.236.43.98:4111/udp/239.253.43.26:5146
CCTV-世界地理,http://183.236.43.98:4111/udp/239.253.43.7:5146
CCTV-世界地理,http://183.236.43.98:4111/udp/239.253.43.24:5146
CCTV-电视指南,http://183.236.43.98:4111/udp/239.253.43.10:5146
CCTV-电视指南,http://183.236.43.98:4111/udp/239.253.43.19:5146
CCTV-兵器科技,http://183.236.43.98:4111/udp/239.253.43.9:5146
CCTV-兵器科技,http://183.236.43.98:4111/udp/239.253.43.18:5146
CCTV-女性时尚,http://183.236.43.98:4111/udp/239.253.43.8:5146
CCTV-女性时尚,http://183.236.43.98:4111/udp/239.253.43.23:5146
CCTV-央视台球,http://183.236.43.98:4111/udp/239.253.43.11:5146
CCTV-央视台球,http://183.236.43.98:4111/udp/239.253.43.21:5146
CGTN英语,http://183.236.43.98:4111/udp/239.77.0.199:5146
CGTN西班牙语,http://183.236.43.98:4111/udp/239.77.0.221:5146
CGTN法语,http://183.236.43.98:4111/udp/239.77.0.228:5146
CGTN阿拉伯语,http://183.236.43.98:4111/udp/239.253.43.200:5146
CGTN俄语,http://183.236.43.98:4111/udp/239.253.43.201:5146
CGTN纪录,http://183.236.43.98:4111/udp/239.253.43.122:5146
CETV早期教育,http://183.236.43.98:4111/udp/239.77.0.180:5146
CETV早期教育,http://183.236.43.98:4111/udp/239.77.1.114:5146
CETV-1综合教育,http://183.236.43.98:4111/udp/239.77.0.200:5146
CETV-1综合教育,http://183.236.43.98:4111/udp/239.77.1.222:5146
CETV-2空中课堂,http://183.236.43.98:4111/udp/239.77.0.28:5146
CETV-2空中课堂,http://183.236.43.98:4111/udp/239.77.1.69:5146
CETV-4职业教育,http://183.236.43.98:4111/udp/239.253.43.40:5146
CETV-4职业教育,http://183.236.43.98:4111/udp/239.253.43.114:5146
环球奇观,http://183.236.43.98:4111/udp/239.77.1.198:5146
环球奇观,http://183.236.43.98:4111/udp/239.253.43.126:5146
老故事,http://183.236.43.98:4111/udp/239.77.0.220:5146
老故事,http://183.236.43.98:4111/udp/239.77.1.197:5146
中学生,http://183.236.43.98:4111/udp/239.77.1.195:5146
发现之旅,http://183.236.43.98:4111/udp/239.77.1.112:5146
发现之旅,http://183.236.43.98:4111/udp/239.253.43.127:5146
中国天气,http://183.236.43.98:4111/udp/239.77.1.2:5146
睛彩竞技,http://183.236.43.98:4111/udp/239.77.1.20:5146
睛彩广场舞,http://183.236.43.98:4111/udp/239.77.1.23:5146
睛彩青少,http://183.236.43.98:4111/udp/239.77.1.22:5146
睛彩篮球,http://183.236.43.98:4111/udp/239.77.1.21:5146
华数爱上4K电影,http://183.236.43.98:4111/udp/239.77.0.103:5146
华数爱上4K电影,http://183.236.43.98:4111/udp/239.77.1.138:5146
华数经典电影,http://183.236.43.98:4111/udp/239.77.0.104:5146
华数热播剧场,http://183.236.43.98:4111/udp/239.77.0.106:5146
华数少儿动画,http://183.236.43.98:4111/udp/239.77.0.109:5146
华数动画,http://183.236.43.98:4111/udp/239.77.1.91:5146
华数谍战剧场,http://183.236.43.98:4111/udp/239.77.1.83:5146
iHOT爱体育,http://183.236.43.98:4111/udp/239.77.0.108:5146
爱生活高清专区,http://183.236.43.98:4111/udp/239.77.1.184:5146
百事通,http://183.236.43.98:4111/udp/239.253.43.115:5146
百事通,http://183.236.43.98:4111/udp/239.253.43.116:5146
百事通,http://183.236.43.98:4111/udp/239.253.43.117:5146
百事通,http://183.236.43.98:4111/udp/239.253.43.118:5146
江苏优漫卡通,http://183.236.43.98:4111/udp/239.77.0.222:5146
江苏优漫卡通,http://183.236.43.98:4111/udp/239.77.1.79:5146
IPTV3,http://183.236.43.98:4111/udp/239.77.1.9:5146
IPTV5+,http://183.236.43.98:4111/udp/239.77.1.116:5146
IPTV法治,http://183.236.43.98:4111/udp/239.77.1.86:5146
IPTV热播剧场,http://183.236.43.98:4111/udp/239.77.1.90:5146
IPTV相声小品,http://183.236.43.98:4111/udp/239.77.1.84:5146
IPTV经典电影,http://183.236.43.98:4111/udp/239.77.1.89:5146
IPTV谍战剧场,http://183.236.43.98:4111/udp/239.77.0.99:5146
IPTV野外,http://183.236.43.98:4111/udp/239.77.0.101:5146
IPTV野外,http://183.236.43.98:4111/udp/239.77.1.85:5146
IPTV频道,http://183.236.43.98:4111/udp/239.77.0.193:5146
IPTV魅力时尚,http://183.236.43.98:4111/udp/239.77.1.88:5146
北京卡酷少儿,http://183.236.43.98:4111/udp/239.77.1.50:5146
北京卡酷少儿,http://183.236.43.98:4111/udp/239.77.0.79:5146
山西摄影频道,http://183.236.43.98:4111/udp/239.77.1.194:5146
上海五星体育,http://183.236.43.98:4111/udp/239.253.43.119:5146
湖北快乐垂钓,http://183.236.43.98:4111/udp/239.77.0.145:5146
湖南金鹰纪实,http://183.236.43.98:4111/udp/239.77.0.160:5146
湖南金鹰纪实,http://183.236.43.98:4111/udp/239.77.1.217:5146
湖南金鹰纪实,http://183.236.43.98:4111/udp/239.77.0.162:5146
湖南金鹰卡通,http://183.236.43.98:4111/udp/239.77.0.164:5146
湖南金鹰卡通,http://183.236.43.98:4111/udp/239.77.1.52:5146
广东岭南戏曲,http://183.236.43.98:4111/udp/239.77.0.16:5146
广东岭南戏曲,http://183.236.43.98:4111/udp/239.77.0.122:5146
广东嘉佳卡通,http://183.236.43.98:4111/udp/239.77.0.13:5146
广东嘉佳卡通,http://183.236.43.98:4111/udp/239.77.1.15:5146
重庆汽摩,http://183.236.43.98:4111/udp/239.77.0.209:5146
重庆汽摩,http://183.236.43.98:4111/udp/239.77.1.205:5146
贵州天元围棋,http://183.236.43.98:4111/udp/239.253.43.98:5146
陕西国学频道,http://183.236.43.98:4111/udp/239.77.0.226:5146
陕西国学频道,http://183.236.43.98:4111/udp/239.77.1.105:5146
深圳宜和购物,http://183.236.43.98:4111/udp/239.77.1.87:5146
广东南方购物,http://183.236.43.98:4111/udp/239.77.0.22:5146

广州新闻频道,http://183.236.43.98:4111/udp/239.253.43.72:5146
广州综合频道,http://183.236.43.98:4111/udp/239.253.43.71:5146
韶关新闻综合,http://183.236.43.98:4111/udp/239.77.0.117:5146
韶关绿色生活,http://183.236.43.98:4111/udp/239.77.0.119:5146
深圳体育,http://183.236.43.98:4111/udp/239.77.1.8:5146
深圳娱乐,http://183.236.43.98:4111/udp/239.77.1.36:5146
深圳少儿,http://183.236.43.98:4111/udp/239.77.1.38:5146
深圳少儿频道,http://183.236.43.98:4111/udp/239.77.1.244:5146
深圳电视剧频道,http://183.236.43.98:4111/udp/239.77.1.7:5146
深圳电视剧频道,http://183.236.43.98:4111/udp/239.77.1.125:5146
深圳电视剧频道,http://183.236.43.98:4111/udp/239.77.1.177:5146
深圳盐田台,http://183.236.43.98:4111/udp/239.77.1.246:5146
深圳移动电视,http://183.236.43.98:4111/udp/239.77.1.175:5146
深圳都市,http://183.236.43.98:4111/udp/239.77.1.124:5146
深圳都市频道,http://183.236.43.98:4111/udp/239.77.1.176:5146
深圳龙岗频道,http://183.236.43.98:4111/udp/239.77.1.223:5146
珠海-1,http://183.236.43.98:4111/udp/239.77.0.155:5146
汕头经济生活,http://183.236.43.98:4111/udp/239.253.43.46:5146
汕头综合频道,http://183.236.43.98:4111/udp/239.253.43.45:5146
佛山公共频道,http://183.236.43.98:4111/udp/239.253.43.53:5146
佛山南海,http://183.236.43.98:4111/udp/239.77.0.236:5146
佛山南海频道,http://183.236.43.98:4111/udp/239.253.43.54:5146
佛山综合频道,http://183.236.43.98:4111/udp/239.253.43.57:5146
佛山顺德频道,http://183.236.43.98:4111/udp/239.253.43.55:5146
江门综合频道,http://183.236.43.98:4111/udp/239.77.0.201:5146
湛江新闻综合,http://183.236.43.98:4111/udp/239.77.0.141:5146
茂名文化生活,http://183.236.43.98:4111/udp/239.77.0.207:5146
茂名综合频道,http://183.236.43.98:4111/udp/239.77.0.206:5146
肇庆生活服务,http://183.236.43.98:4111/udp/239.253.43.2:5146
肇庆综合频道,http://183.236.43.98:4111/udp/239.253.43.1:5146
梅州-1,http://183.236.43.98:4111/udp/239.253.43.123:5146
汕尾公共,http://183.236.43.98:4111/udp/239.77.1.190:5146
汕尾新闻,http://183.236.43.98:4111/udp/239.77.1.189:5146
汕尾新闻综合,http://183.236.43.98:4111/udp/239.77.0.25:5146
河源公共频道,http://183.236.43.98:4111/udp/239.253.43.214:5146
河源综合频道,http://183.236.43.98:4111/udp/239.253.43.213:5146
清远新闻综合,http://183.236.43.98:4111/udp/239.253.43.33:5146
东莞新闻综合,http://183.236.43.98:4111/udp/239.253.43.104:5146
东莞生活资讯,http://183.236.43.98:4111/udp/239.253.43.105:5146
中山综合频道,http://183.236.43.98:4111/udp/239.253.43.62:5146
潮州民生频道,http://183.236.43.98:4111/udp/239.253.43.75:5146
潮州综合频道,http://183.236.43.98:4111/udp/239.253.43.70:5146
揭阳综合频道,http://183.236.43.98:4111/udp/239.77.0.229:5146
云浮文旅频道,http://183.236.43.98:4111/udp/239.77.0.254:5146
云浮综合频道,http://183.236.43.98:4111/udp/239.77.0.253:5146
东方卫视时移,http://183.236.43.98:4111/udp/239.77.0.98:5146

HZTV-1,http://183.236.43.98:4111/udp/239.77.1.232:5146
HZTV-2,http://183.236.43.98:4111/udp/239.77.1.233:5146
九分频,http://183.236.43.98:4111/udp/239.77.1.234:5146
书法频道,http://183.236.43.98:4111/udp/239.77.1.115:5146
华数爱大剧1,http://183.236.43.98:4111/udp/239.77.0.105:5146
华数爱大剧2,http://183.236.43.98:4111/udp/239.77.0.110:5146
华数电视剧,http://183.236.43.98:4111/udp/239.77.1.82:5146
南国都市4K,http://183.236.43.98:4111/udp/239.253.43.99:5146
南方卫视,http://183.236.43.98:4111/udp/239.77.0.9:5146
南方卫视,http://183.236.43.98:4111/udp/239.77.1.12:5146
哒啵赛事,http://183.236.43.98:4111/udp/239.77.0.185:5146
哒啵赛事,http://183.236.43.98:4111/udp/239.77.0.186:5146
四分屏,http://183.236.43.98:4111/udp/239.77.1.107:5146
央视网CCTV3,http://183.236.43.98:4111/udp/239.77.0.107:5146
