湖南电信-组播1,#genre#
凤凰中文,http://0000505.xyz:8888/udp/239.76.253.134:9000
凤凰中文,http://0000505.xyz:8888/udp/239.76.246.134:1234
凤凰中文,http://0000505.xyz:8888/rtp/239.76.246.7:1234
凤凰中文,http://0000505.xyz:8888/rtp/239.69.2.20:11274
凤凰资讯,http://0000505.xyz:8888/udp/239.76.253.135:9000
凤凰资讯,http://0000505.xyz:8888/udp/239.76.246.135:1234
凤凰资讯,http://0000505.xyz:8888/rtp/239.76.246.8:1234
凤凰资讯,http://0000505.xyz:8888/rtp/239.69.2.19:11268
CCTV-风云足球,http://0000505.xyz:8888/udp/239.76.254.52:9000
CCTV-风云足球,http://0000505.xyz:8888/rtp/239.69.1.81:10126
CCTV-高尔夫·网球,http://0000505.xyz:8888/rtp/239.69.1.83:10138
CCTV-央视文化精品,http://0000505.xyz:8888/udp/239.76.254.56:9000
CCTV-风云音乐,http://0000505.xyz:8888/udp/239.76.254.51:9000
CCTV-风云音乐,http://0000505.xyz:8888/rtp/239.69.1.90:10180
CCTV-第一剧场,http://0000505.xyz:8888/udp/239.76.254.49:9000
CCTV-第一剧场,http://0000505.xyz:8888/rtp/239.69.1.74:10084
CCTV-怀旧剧场,http://0000505.xyz:8888/udp/239.76.254.53:9000
CCTV-怀旧剧场,http://0000505.xyz:8888/rtp/239.69.1.86:10156
CCTV-怀旧剧场,http://0000505.xyz:8888/rtp/239.69.1.89:10174
CCTV-风云剧场,http://0000505.xyz:8888/udp/239.76.254.50:9000
CCTV-世界地理,http://0000505.xyz:8888/udp/239.76.254.57:9000
CCTV-世界地理,http://0000505.xyz:8888/rtp/239.69.1.91:10186
CCTV-电视指南,http://0000505.xyz:8888/udp/239.76.254.61:9000
CCTV-电视指南,http://0000505.xyz:8888/rtp/239.69.1.87:10162
CCTV-兵器科技,http://0000505.xyz:8888/udp/239.76.254.59:9000
CCTV-兵器科技,http://0000505.xyz:8888/rtp/239.69.1.79:10114
CCTV-女性时尚,http://0000505.xyz:8888/udp/239.76.254.55:9000
CCTV-央视台球,http://0000505.xyz:8888/udp/239.76.254.58:9000
CCTV-央视台球,http://0000505.xyz:8888/rtp/239.69.1.98:10224
CGTN英语,http://0000505.xyz:8888/rtp/239.254.96.175:9124
CGTN英语,http://0000505.xyz:8888/udp/239.76.252.66:9000
CGTN英语,http://0000505.xyz:8888/udp/239.76.245.66:1234
CGTN西班牙语,http://0000505.xyz:8888/rtp/239.69.1.234:11046
CGTN法语,http://0000505.xyz:8888/udp/239.76.253.87:9000
CGTN法语,http://0000505.xyz:8888/udp/239.76.246.87:1234
CGTN法语,http://0000505.xyz:8888/rtp/239.69.1.235:11052
CGTN阿拉伯语,http://0000505.xyz:8888/rtp/239.69.1.221:10968
CGTN俄语,http://0000505.xyz:8888/udp/239.76.253.86:9000
CGTN俄语,http://0000505.xyz:8888/udp/239.76.246.86:1234
CGTN俄语,http://0000505.xyz:8888/rtp/239.69.1.222:10974
CGTN纪录,http://0000505.xyz:8888/udp/239.76.252.67:9000
CGTN纪录,http://0000505.xyz:8888/udp/239.76.245.67:1234
CGTN纪录,http://0000505.xyz:8888/rtp/239.69.1.233:11040
CETV早期教育,http://0000505.xyz:8888/udp/239.76.254.202:9000
CETV-1综合教育,http://0000505.xyz:8888/udp/239.76.252.192:9000
CETV-1综合教育,http://0000505.xyz:8888/udp/239.76.245.192:1234
CETV-1综合教育,http://0000505.xyz:8888/rtp/239.69.1.110:10298
