北京联通-组播1,#genre#
东方卫视,http://n2.192372.xyz:8888/rtp/239.3.1.136:8032
安徽卫视,http://n2.192372.xyz:8888/rtp/239.3.1.211:8064
广东卫视,http://n2.192372.xyz:8888/rtp/239.3.1.142:8048
深圳卫视,http://n2.192372.xyz:8888/rtp/239.3.1.134:8020
辽宁卫视,http://n2.192372.xyz:8888/rtp/239.3.1.210:8056
山东卫视,http://n2.192372.xyz:8888/rtp/239.3.1.209:8052
山东教育卫视,http://n2.192372.xyz:8888/rtp/239.3.1.52:4120
天津卫视,http://n2.192372.xyz:8888/rtp/239.3.1.141:1234
重庆卫视,http://n2.192372.xyz:8888/rtp/239.3.1.122:8160
东南卫视,http://n2.192372.xyz:8888/rtp/239.3.1.156:8148
河北卫视,http://n2.192372.xyz:8888/rtp/239.3.1.148:8072
河南卫视,http://n2.192372.xyz:8888/rtp/239.3.1.27:8128
河南卫视,http://n2.192372.xyz:8888/rtp/239.3.1.50:8184
湖北卫视,http://n2.192372.xyz:8888/rtp/239.3.1.138:8044
陕西卫视,http://n2.192372.xyz:8888/rtp/239.3.1.41:8140
四川卫视,http://n2.192372.xyz:8888/rtp/239.3.1.29:8288
海南卫视,http://n2.192372.xyz:8888/rtp/239.3.1.45:8304
甘肃卫视,http://n2.192372.xyz:8888/rtp/239.3.1.201:8180
甘肃卫视,http://n2.192372.xyz:8888/rtp/239.3.1.49:8188
广西卫视,http://n2.192372.xyz:8888/rtp/239.3.1.39:8300
贵州卫视,http://n2.192372.xyz:8888/rtp/239.3.1.149:8076
黑龙江卫视,http://n2.192372.xyz:8888/rtp/239.3.1.133:8016
江西卫视,http://n2.192372.xyz:8888/rtp/239.3.1.123:8164
吉林卫视,http://n2.192372.xyz:8888/rtp/239.3.1.240:8172
内蒙古卫视,http://n2.192372.xyz:8888/rtp/239.3.1.43:8176
宁夏卫视,http://n2.192372.xyz:8888/rtp/239.3.1.169:8212
宁夏卫视,http://n2.192372.xyz:8888/rtp/239.3.1.46:8124
山西卫视,http://n2.192372.xyz:8888/rtp/239.3.1.42:8172
新疆卫视,http://n2.192372.xyz:8888/rtp/239.3.1.167:8192
新疆卫视,http://n2.192372.xyz:8888/rtp/239.3.1.48:8160
云南卫视,http://n2.192372.xyz:8888/rtp/239.3.1.26:8108
青海卫视,http://n2.192372.xyz:8888/rtp/239.3.1.44:8184
西藏卫视,http://n2.192372.xyz:8888/rtp/239.3.1.166:8188
西藏卫视,http://n2.192372.xyz:8888/rtp/239.3.1.47:8164
兵团卫视,http://n2.192372.xyz:8888/rtp/239.3.1.144:4120
兵团卫视,http://n2.192372.xyz:8888/rtp/239.3.1.168:8196
三沙卫视,http://n2.192372.xyz:8888/rtp/239.3.1.155:4120
厦门卫视,http://n2.192372.xyz:8888/rtp/239.3.1.143:4120
湖南卫视4K,http://n2.192372.xyz:8888/rtp/239.3.1.112:3002
浙江卫视4K,http://n2.192372.xyz:8888/rtp/239.3.1.114:3004
江苏卫视4K,http://n2.192372.xyz:8888/rtp/239.3.1.113:3003
东方卫视4K,http://n2.192372.xyz:8888/rtp/239.3.1.119:3006
广东卫视4K,http://n2.192372.xyz:8888/rtp/239.3.1.203:2000
深圳卫视4K,http://n2.192372.xyz:8888/rtp/239.3.1.202:2000
山东卫视4K,http://n2.192372.xyz:8888/rtp/239.3.1.144:3005
四川卫视4K,http://n2.192372.xyz:8888/rtp/239.3.1.131:3001
CGTN英语,http://n2.192372.xyz:8888/rtp/239.3.1.215:4220
CGTN西班牙语,http://n2.192372.xyz:8888/rtp/239.3.1.217:4220
CGTN法语,http://n2.192372.xyz:8888/rtp/239.3.1.218:4220
CGTN阿拉伯语,http://n2.192372.xyz:8888/rtp/239.3.1.219:4220
CGTN俄语,http://n2.192372.xyz:8888/rtp/239.3.1.220:4220
CGTN纪录,http://n2.192372.xyz:8888/rtp/239.3.1.216:4220
CETV-1综合教育,http://n2.192372.xyz:8888/rtp/239.3.1.57:8152
CETV-2空中课堂,http://n2.192372.xyz:8888/rtp/239.3.1.54:4120
CETV-3北京科教,http://n2.192372.xyz:8888/rtp/239.3.1.55:4120
