四川电信-组播1,#genre#
四川科教,http://171.213.149.236:4022/udp/239.94.0.76:5140
四川经济,http://171.213.149.236:4022/udp/239.94.0.70:5140

凤凰中文,http://171.213.149.236:4022/udp/239.94.2.52:5140
凤凰中文,http://171.213.149.236:4022/udp/239.94.2.51:5140
凤凰资讯,http://171.213.149.236:4022/udp/239.94.2.49:5140
凤凰资讯,http://171.213.149.236:4022/udp/239.94.2.50:5140
CGTN英语,http://171.213.149.236:4022/udp/239.94.0.40:5140
CGTN英语,http://171.213.149.236:4022/udp/239.94.0.22:5140
CGTN西班牙语,http://171.213.149.236:4022/udp/239.94.1.61:5140
CGTN西班牙语,http://171.213.149.236:4022/udp/239.94.1.65:5140
CGTN法语,http://171.213.149.236:4022/udp/239.94.1.62:5140
CGTN法语,http://171.213.149.236:4022/udp/239.94.1.66:5140
CETV-1综合教育,http://171.213.149.236:4022/udp/239.94.1.2:5140
CETV-2空中课堂,http://171.213.149.236:4022/udp/239.94.1.19:5140
CETV-4职业教育,http://171.213.149.236:4022/udp/239.94.1.20:5140
CHC家庭影院,http://171.213.149.236:4022/udp/239.94.1.173:5140
CHC影迷电影,http://171.213.149.236:4022/udp/239.94.1.174:5140
CHC动作电影,http://171.213.149.236:4022/udp/239.94.1.175:5140
中国交通,http://171.213.149.236:4022/udp/239.94.0.87:5140
中国天气,http://171.213.149.236:4022/udp/239.94.1.167:5140
华数经典电影,http://171.213.149.236:4022/udp/239.94.1.21:5140
华数热播剧场,http://171.213.149.236:4022/udp/239.94.1.25:5140
华数魅力时尚,http://171.213.149.236:4022/udp/239.94.1.39:5140
华数少儿动画,http://171.213.149.236:4022/udp/239.94.1.33:5140
华数谍战剧场,http://171.213.149.236:4022/udp/239.94.1.28:5140
iHOT爱谍战,http://171.213.149.236:4022/udp/239.94.1.134:5140
iHOT爱动漫,http://171.213.149.236:4022/udp/239.94.1.141:5140
iHOT爱科幻,http://171.213.149.236:4022/udp/239.94.1.131:5140
iHOT爱浪漫,http://171.213.149.236:4022/udp/239.94.1.128:5140
iHOT爱历史,http://171.213.149.236:4022/udp/239.94.1.135:5140
iHOT爱旅行,http://171.213.149.236:4022/udp/239.94.1.137:5140
iHOT爱奇谈,http://171.213.149.236:4022/udp/239.94.1.130:5140
iHOT爱赛车,http://171.213.149.236:4022/udp/239.94.1.144:5140
iHOT爱体育,http://171.213.149.236:4022/udp/239.94.1.44:5140
iHOT爱体育,http://171.213.149.236:4022/udp/239.94.1.143:5140
iHOT爱玩具,http://171.213.149.236:4022/udp/239.94.1.140:5140
iHOT爱喜剧,http://171.213.149.236:4022/udp/239.94.1.129:5140
iHOT爱喜剧,http://171.213.149.236:4022/udp/239.94.2.71:5140
iHOT爱悬疑,http://171.213.149.236:4022/udp/239.94.1.136:5140
iHOT爱幼教,http://171.213.149.236:4022/udp/239.94.1.139:5140
iHOT爱院线,http://171.213.149.236:4022/udp/239.94.1.132:5140
爱生活高清专区,http://171.213.149.236:4022/udp/239.94.1.41:5140
