浙江电信-组播1,#genre#
甘肃卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.201.149:5140
广西卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.200.41:5140
广西卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.200.136:5140
广西卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.201.49:5140
贵州卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.200.128:5140
贵州卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.200.139:5140
贵州卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.201.69:5140
贵州卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.201.142:5140
黑龙江卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.200.189:5140
黑龙江卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.201.42:5140
黑龙江卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.201.115:5140
江西卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.200.80:5140
江西卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.200.119:5140
江西卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.201.53:5140
江西卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.201.145:5140
吉林卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.200.77:5140
吉林卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.200.164:5140
吉林卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.201.48:5140
内蒙古卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.201.148:5140
宁夏卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.201.57:5140
宁夏卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.202.45:5140
山西卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.201.51:5140
新疆卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.202.46:5140
云南卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.200.81:5140
云南卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.201.46:5140
青海卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.200.131:5140
青海卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.201.65:5140
西藏卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.200.137:5140
西藏卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.201.70:5140
西藏卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.202.43:5140
兵团卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.200.171:5140
兵团卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.201.72:5140
兵团卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.202.44:5140
三沙卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.200.175:5140
湖南卫视4K,http://maymoon.asuscomm.com:7777/rtp/233.50.202.106:5140
江苏卫视4K,http://maymoon.asuscomm.com:7777/rtp/233.50.202.107:5140
北京卫视4K,http://maymoon.asuscomm.com:7777/rtp/233.50.202.100:5140
东方卫视4K,http://maymoon.asuscomm.com:7777/rtp/233.50.202.105:5140
广东卫视4K,http://maymoon.asuscomm.com:7777/rtp/233.50.202.101:5140
深圳卫视4K,http://maymoon.asuscomm.com:7777/rtp/233.50.202.102:5140
山东卫视4K,http://maymoon.asuscomm.com:7777/rtp/233.50.202.108:5140
四川卫视4K,http://maymoon.asuscomm.com:7777/rtp/233.50.202.109:5140
凤凰中文,http://maymoon.asuscomm.com:7777/rtp/233.50.202.35:5140
凤凰资讯,http://maymoon.asuscomm.com:7777/rtp/233.50.202.36:5140
