重庆电信-组播1,#genre#
江苏卫视,http://msen.site:8000/rtp/235.254.198.64:1532
江苏卫视,http://msen.site:8000/rtp/235.254.199.64:7980
北京卫视,http://msen.site:8000/rtp/235.254.198.66:1540
北京卫视,http://msen.site:8000/rtp/235.254.199.66:7980
东方卫视,http://msen.site:8000/rtp/235.254.198.73:1568
东方卫视,http://msen.site:8000/rtp/235.254.199.73:7980
安徽卫视,http://msen.site:8000/rtp/235.254.198.65:1536
安徽卫视,http://msen.site:8000/rtp/235.254.199.65:7980
广东卫视,http://msen.site:8000/rtp/235.254.196.204:1088
广东卫视,http://msen.site:8000/rtp/235.254.197.186:7980
深圳卫视,http://msen.site:8000/rtp/235.254.198.71:1560
深圳卫视,http://msen.site:8000/rtp/235.254.199.71:7980
辽宁卫视,http://msen.site:8000/rtp/235.254.198.68:1548
辽宁卫视,http://msen.site:8000/rtp/235.254.199.68:7980
山东卫视,http://msen.site:8000/rtp/235.254.198.69:1552
山东卫视,http://msen.site:8000/rtp/235.254.199.69:7980
天津卫视,http://msen.site:8000/rtp/235.254.198.67:1544
天津卫视,http://msen.site:8000/rtp/235.254.199.67:7980
东南卫视,http://msen.site:8000/rtp/235.254.198.129:7980
东南卫视,http://msen.site:8000/rtp/235.254.199.129:7980
河北卫视,http://msen.site:8000/rtp/235.254.198.184:7980
河北卫视,http://msen.site:8000/rtp/235.254.199.184:7980
河南卫视,http://msen.site:8000/rtp/235.254.198.26:1380
河南卫视,http://msen.site:8000/rtp/235.254.198.135:7980
河南卫视,http://msen.site:8000/rtp/235.254.199.135:7980
湖北卫视,http://msen.site:8000/rtp/235.254.198.72:1564
湖北卫视,http://msen.site:8000/rtp/235.254.199.72:7980
陕西卫视,http://msen.site:8000/rtp/235.254.198.40:1436
四川卫视,http://msen.site:8000/rtp/235.254.198.175:7980
四川卫视,http://msen.site:8000/rtp/235.254.199.175:7980
海南卫视,http://msen.site:8000/rtp/235.254.198.44:1452
甘肃卫视,http://msen.site:8000/rtp/235.254.198.48:1468
甘肃卫视,http://msen.site:8000/rtp/235.254.197.176:7980
广西卫视,http://msen.site:8000/rtp/235.254.198.38:1428
贵州卫视,http://msen.site:8000/rtp/235.254.198.185:7980
贵州卫视,http://msen.site:8000/rtp/235.254.199.185:7980
黑龙江卫视,http://msen.site:8000/rtp/235.254.198.70:1556
黑龙江卫视,http://msen.site:8000/rtp/235.254.197.243:7980
黑龙江卫视,http://msen.site:8000/rtp/235.254.199.70:7980
江西卫视,http://msen.site:8000/rtp/235.254.198.29:1392
江西卫视,http://msen.site:8000/rtp/235.254.198.190:7980
江西卫视,http://msen.site:8000/rtp/235.254.199.190:7980
吉林卫视,http://msen.site:8000/rtp/235.254.198.39:1432
内蒙古卫视,http://msen.site:8000/rtp/235.254.198.42:1444
宁夏卫视,http://msen.site:8000/rtp/235.254.198.45:1456
宁夏卫视,http://msen.site:8000/rtp/235.254.197.138:7980
山西卫视,http://msen.site:8000/rtp/235.254.198.41:1440
新疆卫视,http://msen.site:8000/rtp/235.254.198.47:1464
新疆卫视,http://msen.site:8000/rtp/235.254.197.178:7980
云南卫视,http://msen.site:8000/rtp/235.254.198.25:1376
云南卫视,http://msen.site:8000/rtp/235.254.197.177:7980
青海卫视,http://msen.site:8000/rtp/235.254.198.43:1448
西藏卫视,http://msen.site:8000/rtp/235.254.198.46:1460
西藏卫视,http://msen.site:8000/rtp/235.254.197.184:7980
兵团卫视,http://msen.site:8000/rtp/235.254.197.183:7980
湖南卫视4K,http://msen.site:8000/rtp/235.254.197.196:7980
浙江卫视4K,http://msen.site:8000/rtp/235.254.197.194:7980
江苏卫视4K,http://msen.site:8000/rtp/235.254.197.191:7980
北京卫视4K,http://msen.site:8000/rtp/235.254.197.52:7980
北京卫视4K,http://msen.site:8000/rtp/235.254.197.50:7980
东方卫视4K,http://msen.site:8000/rtp/235.254.197.190:7980
广东卫视4K,http://msen.site:8000/rtp/235.254.197.55:7980
深圳卫视4K,http://msen.site:8000/rtp/235.254.197.56:7980
山东卫视4K,http://msen.site:8000/rtp/235.254.197.195:7980
四川卫视4K,http://msen.site:8000/rtp/235.254.197.197:7980
CCTV-卫生健康,http://msen.site:8000/rtp/235.254.197.146:7980
CCTV-风云足球,http://msen.site:8000/rtp/235.254.199.204:7980
CCTV-央视文化精品,http://msen.site:8000/rtp/235.254.199.210:7980
CCTV-风云音乐,http://msen.site:8000/rtp/235.254.199.208:7980
CCTV-第一剧场,http://msen.site:8000/rtp/235.254.199.211:7980
CCTV-怀旧剧场,http://msen.site:8000/rtp/235.254.199.205:7980
CCTV-风云剧场,http://msen.site:8000/rtp/235.254.199.207:7980
CCTV-世界地理,http://msen.site:8000/rtp/235.254.199.194:7980
CCTV-电视指南,http://msen.site:8000/rtp/235.254.199.189:7980
CCTV-兵器科技,http://msen.site:8000/rtp/235.254.199.202:7980
CCTV-女性时尚,http://msen.site:8000/rtp/235.254.199.195:7980
CCTV-央视台球,http://msen.site:8000/rtp/235.254.199.193:7980
CETV早期教育,http://msen.site:8000/rtp/235.254.199.201:7980
CETV-1综合教育,http://msen.site:8000/rtp/235.254.199.196:7980
CETV-4职业教育,http://msen.site:8000/rtp/235.254.197.53:7980
CHC家庭影院,http://msen.site:8000/rtp/235.254.198.246:7980
CHC家庭影院,http://msen.site:8000/rtp/235.254.199.246:7980
CHC影迷电影,http://msen.site:8000/rtp/235.254.198.248:7980
CHC影迷电影,http://msen.site:8000/rtp/235.254.199.248:7980
CHC动作电影,http://msen.site:8000/rtp/235.254.198.247:7980
CHC动作电影,http://msen.site:8000/rtp/235.254.199.247:7980
中国交通,http://msen.site:8000/rtp/235.254.197.145:7980
华数爱上4K电影,http://msen.site:8000/rtp/235.254.198.102:7980
华数经典电影,http://msen.site:8000/rtp/235.254.198.114:1732
华数动作影院,http://msen.site:8000/rtp/235.254.198.99:1672
华数喜剧影院,http://msen.site:8000/rtp/235.254.198.98:1668
华数家庭影院,http://msen.site:8000/rtp/235.254.198.100:1676
华数星影,http://msen.site:8000/rtp/235.254.198.101:1680
华数热播剧场,http://msen.site:8000/rtp/235.254.198.113:1728
华数古装剧场,http://msen.site:8000/rtp/235.254.198.76:1580
华数城市剧场,http://msen.site:8000/rtp/235.254.198.74:1572
华数军旅剧场,http://msen.site:8000/rtp/235.254.198.75:1576
华数魅力时尚,http://msen.site:8000/rtp/235.254.198.115:1736
华数少儿动画,http://msen.site:8000/rtp/235.254.198.116:1740
华数动画,http://msen.site:8000/rtp/235.254.198.87:1624
华数动画,rtp:/235.254.199.87:7980
华数精选,http://msen.site:8000/rtp/235.254.198.81:1600
华数谍战剧场,http://msen.site:8000/rtp/235.254.198.117:1744
华数武侠剧场,http://msen.site:8000/rtp/235.254.198.97:1664
IPTV10野外,http://msen.site:8000/rtp/235.254.198.119:1752
IPTV11戏曲,http://msen.site:8000/rtp/235.254.198.85:1616
IPTV12法治,http://msen.site:8000/rtp/235.254.198.120:1756
IPTV14早教,http://msen.site:8000/rtp/235.254.198.86:1620
IPTV15音乐,http://msen.site:8000/rtp/235.254.198.77:1584
IPTV3综艺,http://msen.site:8000/rtp/235.254.198.13:1328
IPTV5体育,http://msen.site:8000/rtp/235.254.198.14:1332
IPTV6华数电影,http://msen.site:8000/rtp/235.254.198.15:1336
IPTV7军事,http://msen.site:8000/rtp/235.254.198.83:1608
IPTV8电视剧,http://msen.site:8000/rtp/235.254.198.16:1340
IPTV国学,http://msen.site:8000/rtp/235.254.198.84:1612
IPTV地理,http://msen.site:8000/rtp/235.254.198.78:1588
IPTV墨宝,http://msen.site:8000/rtp/235.254.198.90:1636
IPTV好学生,http://msen.site:8000/rtp/235.254.198.88:1628
IPTV少儿,http://msen.site:8000/rtp/235.254.199.15:7980
