2026/09/10 20:13更新,#genre#
CCTV-15音乐,http://www.zhms.tk:5050/udp/239.94.0.38:5140
CCTV-17农业农村,http://www.zhms.tk:5050/udp/239.94.0.17:5140
CCTV-17农业农村,http://www.zhms.tk:5050/udp/239.94.0.39:5140
CCTV4K超高清,http://www.zhms.tk:5050/udp/239.94.0.20:5140
湖南卫视,http://www.zhms.tk:5050/udp/239.94.0.61:5140
浙江卫视,http://www.zhms.tk:5050/udp/239.94.0.63:5140
江苏卫视,http://www.zhms.tk:5050/udp/239.94.0.62:5140
北京卫视,http://www.zhms.tk:5050/udp/239.94.0.65:5140
东方卫视,http://www.zhms.tk:5050/udp/239.94.0.64:5140
安徽卫视,http://www.zhms.tk:5050/udp/239.94.0.85:5140
广东卫视,http://www.zhms.tk:5050/udp/239.94.0.67:5140
深圳卫视,http://www.zhms.tk:5050/udp/239.94.0.66:5140
辽宁卫视,http://www.zhms.tk:5050/udp/239.94.0.101:5140
山东卫视,http://www.zhms.tk:5050/udp/239.94.0.69:5140
天津卫视,http://www.zhms.tk:5050/udp/239.94.0.68:5140
重庆卫视,http://www.zhms.tk:5050/udp/239.94.0.82:5140
东南卫视,http://www.zhms.tk:5050/udp/239.94.0.80:5140
河北卫视,http://www.zhms.tk:5050/udp/239.94.0.86:5140
河南卫视,http://www.zhms.tk:5050/udp/239.94.0.88:5140
湖北卫视,http://www.zhms.tk:5050/udp/239.94.0.84:5140
陕西卫视,http://www.zhms.tk:5050/udp/239.94.0.92:5140
甘肃卫视,http://www.zhms.tk:5050/udp/239.94.0.99:5140
广西卫视,http://www.zhms.tk:5050/udp/239.94.0.89:5140
贵州卫视,http://www.zhms.tk:5050/udp/239.94.0.83:5140
黑龙江卫视,http://www.zhms.tk:5050/udp/239.94.0.81:5140
江西卫视,http://www.zhms.tk:5050/udp/239.94.0.79:5140
吉林卫视,http://www.zhms.tk:5050/udp/239.94.0.91:5140
内蒙古卫视,http://www.zhms.tk:5050/udp/239.94.0.94:5140
宁夏卫视,http://www.zhms.tk:5050/udp/239.94.0.96:5140
新疆卫视,http://www.zhms.tk:5050/udp/239.94.0.98:5140
云南卫视,http://www.zhms.tk:5050/udp/239.94.0.90:5140
西藏卫视,http://www.zhms.tk:5050/udp/239.94.0.97:5140
兵团卫视,http://www.zhms.tk:5050/udp/239.94.0.102:5140
康巴卫视,http://www.zhms.tk:5050/udp/239.94.0.78:5140
厦门卫视,http://www.zhms.tk:5050/udp/239.94.0.104:5140
延边卫视,http://www.zhms.tk:5050/udp/239.94.0.107:5140
安多卫视,http://www.zhms.tk:5050/udp/239.94.0.110:5140
山东教育卫视,http://www.zhms.tk:5050/udp/239.94.0.106:5140
海南卫视,http://www.zhms.tk:5050/udp/239.94.0.100:5140
山西卫视,http://www.zhms.tk:5050/udp/239.94.0.93:5140
青海卫视,http://www.zhms.tk:5050/udp/239.94.0.95:5140
三沙卫视,http://www.zhms.tk:5050/udp/239.94.0.105:5140
湖南卫视4K,http://www.zhms.tk:5050/udp/239.94.0.116:5140
